Date,Close,High,Low,Open,Volume
2020-11-02,32.057823181152344,32.399905856424475,29.370048309238367,30.396290742483423,23099679
2020-11-03,32.204429626464844,32.98632700232528,31.960086463484654,32.39990490252515,4556016
2020-11-04,31.960084915161133,32.351031719961334,31.275923346285026,32.20442806630398,1667520
2020-11-05,32.2532958984375,32.54650693365627,31.666873827999968,31.960084863218736,3951058
2020-11-06,32.106689453125,32.302164725099324,31.764610523455453,31.96008579542978,1351591
2020-11-09,31.911216735839844,32.74198195069939,29.809864164069594,32.25329565292776,4323953
2020-11-10,32.595375061035156,33.71935505419387,32.399903521686355,32.74198244392738,5976055
2020-11-11,32.204429626464844,32.9374591154054,32.057822237324416,32.69311595242522,1459446
2020-11-12,32.79085159301758,32.986326868283555,32.253297382321705,32.253297382321705,1868282
2020-11-13,33.719356536865234,33.96369970017585,32.741983883622765,32.79085177060873,5544814
2020-11-14,33.426143646240234,33.963697830251554,33.328404149268714,33.71935468039363,853354
2020-11-17,33.52388000488281,33.91483054288882,33.03519369656563,33.37727634941604,2071178
2020-11-18,33.18180465698242,33.768226798819505,33.08406514775554,33.230672547405334,2069678
2020-11-19,32.44877243041992,33.132934024870785,32.30216504290161,33.132934024870785,1392356
2020-11-20,32.30216598510742,32.937459711709664,32.00895492989902,32.44877337690205,1280775
2020-11-23,36.45600128173828,37.14016292337132,33.572751045958256,33.91483373096528,11604586
2020-11-24,35.380889892578125,38.11753250633087,35.185414621228496,36.895816720871544,4370022
2020-11-25,34.15917205810547,35.86957405515129,33.96369679848128,35.52749141871384,1673052
2020-11-26,33.67048645019531,35.23428110186866,33.57274695422789,33.81709010157564,2461538
2020-11-27,33.57274627685547,34.0614325616911,33.32840313443766,33.81708941927329,1054709
2020-12-01,34.012569427490234,34.843338464725484,33.27953989789613,33.719358361328794,1553456
2020-12-02,33.621620178222656,34.598992814468886,33.3772770191611,34.11030649634577,1058999
2020-12-03,34.012569427490234,34.55012367018305,33.62162258206864,34.15917682476145,1739440
2020-12-04,34.11030578613281,34.550120480581626,33.91483051727742,34.20804155637018,1283490
2020-12-07,34.40351867675781,35.03880867425212,33.91483234250949,34.25691128513098,2264012
2020-12-08,33.914833068847656,35.136548930633374,33.62162200769527,35.08768104183813,2767501
2020-12-09,36.749210357666016,38.65508778168222,34.11030717036136,34.11030717036136,9679293
2020-12-10,36.21165466308594,37.04242362339227,36.113918892876086,36.40712993188629,1902573
2020-12-11,36.65147399902344,36.846949272694374,36.162787679036455,36.60260611270088,1682915
2020-12-14,36.749210357666016,36.99355352155576,35.28315137432752,36.84694986025039,1669172
2020-12-15,37.23789596557617,37.38450335242818,36.26052332891138,36.26052332891138,2757434
2020-12-16,38.068668365478516,38.50848683718582,37.43337460319229,37.62884989377121,2540422
2020-12-17,38.16640090942383,38.70395511663641,38.117533023019185,38.21526879582847,1812679
2020-12-18,38.655086517333984,38.899429673231644,38.166400205538665,38.410743361436325,2071976
2020-12-21,35.380889892578125,39.09490513469833,34.501253035695136,38.94829774909093,2029451
2020-12-22,35.96731185913086,36.45599817169617,33.71935556700656,33.86596295212842,1854982
2020-12-23,35.380889892578125,37.14015987796341,35.08767884974402,36.553737792295216,2032261
2020-12-24,35.674102783203125,36.01618172949792,35.18541644370719,35.82071017640426,1575992
2020-12-28,36.26052474975586,36.35826425428063,35.67410263613072,35.67410263613072,1860194
2020-12-29,36.700340270996094,37.04242291696812,36.35826135340464,37.04242291696812,1882732
2020-12-30,36.65147399902344,36.79808138637183,35.47862608537854,36.700341885345985,1483158
2020-12-31,36.84695053100586,36.99355419497998,36.309396306339025,36.309396306339025,1034633
2021-01-01,36.895816802978516,36.9446846888295,36.50486625940925,36.895816802978516,832887
2021-01-04,37.09129333496094,37.43337227592085,36.553739115575006,37.43337227592085,1156997
2021-01-05,36.602603912353516,36.79807917427356,36.21165338851343,36.79807917427356,614490
2021-01-06,36.79808044433594,37.09129148314573,36.60260517566919,36.89581621447899,936322
