Date,Close,High,Low,Open,Volume
2019-12-12,51.9557991027832,58.316784620616275,49.26282511490558,54.5559098421029,251414527
2019-12-13,48.287784576416016,51.445064215668445,47.45203304179897,51.445064215668445,40886357
2019-12-16,54.27732849121094,55.391662704206645,47.591326755607525,48.28778519593349,75723164
2019-12-17,54.463050842285156,56.73814555471549,53.395146495428286,56.04168712216642,59177594
2019-12-18,53.673728942871094,54.69520343190047,52.698687849720464,54.370187372603084,16440516
2019-12-19,54.88092041015625,55.15950660358118,52.60582580790373,53.02369801329992,16846660
2019-12-20,53.95231246948242,55.43809260210438,53.488006842232586,54.602341056106354,9016461
2019-12-23,52.37367630004883,54.41661823109581,52.187953340216154,53.62730007977046,6044590
2019-12-24,51.584354400634766,52.88441157190807,51.35220158736245,52.466535799543735,5209932
2019-12-26,49.7735595703125,51.90936819284148,49.402117210755335,51.58435214306198,6485440
2019-12-27,49.72713088989258,51.44506379882536,49.355688521583055,50.05214694733049,8207009
2019-12-30,50.19144058227539,50.79503935054641,49.49498209998007,49.58784535637539,5161631
2019-12-31,50.00571823120117,50.887899694842375,49.91285851602676,50.14501134633386,2608305
2020-01-01,49.26282501220703,50.33072934298724,49.123535453216604,50.00571328726814,3369319
2020-01-02,51.63078308105469,53.16299303076745,49.1235355886094,49.49497795597835,10788226
2020-01-03,50.98076248168945,52.18795647966631,50.74860965352579,51.630787566650895,3802527
2020-01-06,49.40211868286133,50.88789525010512,49.21639572636316,50.88789525010512,2878675
2020-01-07,49.7735595703125,50.42358812750086,49.44854706290365,49.68069986601587,2223498
2020-01-08,50.19144058227539,50.51645666610249,48.38064781983335,48.93781673109222,2992351
2020-01-09,49.355690002441406,51.07361942054786,49.12353718689346,51.07361942054786,5424010
2020-01-10,48.473506927490234,49.912853625902585,48.10206101844221,49.49497786381623,4962166
2020-01-13,48.798519134521484,49.21639489398227,48.519936475671194,48.519936475671194,2490710
2020-01-14,48.798519134521484,49.680700506189645,48.56636632841779,49.077101793371774,2848871
2020-01-15,48.00920104980469,49.123535228483796,47.91633780186519,49.123535228483796,4121422
2020-01-16,47.82347869873047,49.169965700664015,47.54489603614405,48.24135446379547,3698950
2020-01-17,46.80200958251953,48.19492649220915,46.70914632978436,48.00920352910969,4884518
2020-01-20,45.54838180541992,47.17345151794417,45.13050602801094,47.127021663203365,4565526
2020-01-21,46.384132385253906,46.98772756893868,44.89835226818284,45.734103805433485,4427125
2020-01-22,47.68418502807617,49.123535261968605,46.1984084837384,47.17344956235823,7374048
2020-01-23,49.7735595703125,50.33072842320423,48.28778304734253,48.28778304734253,14228890
2020-01-24,50.88789367675781,51.352199282462486,49.866422761155796,50.14500541610447,6737755
2020-01-27,50.702171325683594,51.95579860133592,50.14500600919636,51.073617231588884,4975971
2020-01-28,51.12004470825195,52.234378831804555,50.609309268148415,50.70216896912341,5831800
2020-01-29,50.98076248168945,51.77008068049751,50.88789922500137,51.53792785233384,2661337
2020-01-30,51.491493225097656,52.00222869126991,50.00571313706752,50.98075775892539,3154683
2020-01-31,51.816505432128906,52.37367429024597,51.58435262683947,52.09508809000209,3129732
2020-02-03,49.448551177978516,50.377162467705816,49.216398355546694,49.680704000410344,1987363
2020-02-04,50.19144058227539,50.60931638012679,49.58784535637539,50.05215101123894,2223160
2020-02-05,52.23438262939453,53.6737293533748,49.77356140857252,49.86642465866947,6277829
2020-02-06,52.698692321777344,54.04517944199741,51.81651086077999,52.18795680510658,4033152
2020-02-07,51.9557991027832,52.837980481044546,51.77007614803807,52.79154708558022,1442427
2020-02-10,51.027191162109375,51.95580245334933,50.60931537257721,51.81650934271495,1347813
2020-02-11,51.027191162109375,51.95580245334933,50.23786943913285,51.1664807303728,2048203
2020-02-12,50.42359161376953,51.35220289042227,50.2378686499648,51.073620215900625,1554938
2020-02-13,50.79503631591797,51.21291208880437,49.77356181082111,50.19143758370751,1947090
2020-02-14,50.60931396484375,51.53792523025373,50.23786804173142,51.07361959754874,1393438
2020-02-17,49.680702209472656,50.562883611386056,49.40211954107127,50.14500783759857,1305086
2020-02-18,49.030670166015625,49.68069870805305,48.473504868481015,49.26282296371681,1124779
2020-02-19,49.26282501220703,50.052146682635666,49.123535453216604,49.21639515921022,2178575
2020-02-20,49.448551177978516,49.773563712434694,48.70566285467087,49.03067538912705,1351336
2020-02-24,47.962772369384766,49.402119095107636,47.8234792652561,49.21639613705967,1453779
2020-02-25,47.49846649169922,48.42707773460735,47.21988028493016,47.962772113153285,1422367
2020-02-26,46.29126739501953,47.591324505784335,45.64124238200777,47.359171703317095,2892356
2020-02-27,46.0126838684082,46.43055961340294,45.1769359207893,46.43055961340294,1753310
2020-02-28,44.944786071777344,45.31622844763444,43.64472890035049,44.57334015354944,2657101
2020-03-02,45.22336959838867,47.26631510271114,44.80549381803644,46.894869177426735,2200495
2020-03-03,45.316226959228516,46.151978476605734,44.5733386895436,45.22336725390691,1485021
2020-03-04,45.594810485839844,46.43056201913253,43.18042267779325,45.26979796865422,2324931
2020-03-05,46.29126739501953,46.61628344389605,45.037643678644685,45.96625488851365,1102893
2020-03-06,41.23033905029297,43.64472677403607,37.051588614481005,42.71611556607786,3685026
2020-03-09,37.8873405456543,39.790993012939005,37.237311923506326,39.001674820426395,2999073
2020-03-11,38.351646423339844,39.698133532325684,37.60875808325591,38.073063738604745,1915840
2020-03-12,35.937252044677734,36.86586319031607,34.35861238861848,34.35861238861848,3275828
2020-03-13,38.351646423339844,39.9302863600001,28.78695063162798,30.179867597674495,4106623
2020-03-16,36.680145263671875,38.862380337093875,35.38008806522629,36.958727936947106,2766265
2020-03-17,34.219322204589844,37.60875459083566,33.47643393349192,36.68014336637058,2678737
2020-03-18,29.669130325317383,35.70510348680349,29.297684406123757,34.822922085496735,4902990
2020-03-19,27.904767990112305,29.065532079071808,26.65114419098439,28.3226437706119,2967208
2020-03-20,27.301172256469727,28.972673683101863,26.92972808539109,28.50836802645719,3789663
2020-03-23,23.58672523498535,26.60471177691342,23.21528109175436,25.072503579094708,2705682
2020-03-24,22.379531860351562,25.443948329063193,21.915226227444624,24.143892911160847,1780301
2020-03-25,22.611684799194336,23.215281771003333,21.45092071064417,21.915226346064237,1513021
2020-03-26,24.840351104736328,24.840351104736328,22.704545923831294,22.704545923831294,2052369
2020-03-27,26.697572708129883,27.301169649902707,25.722531630741887,27.301169649902707,3251037
2020-03-30,25.25822639465332,25.676100389250205,24.051030721940887,24.84035062887106,904089
2020-03-31,25.351085662841797,26.465419838186968,24.840350199000046,25.351085662841797,3597692
2020-04-01,25.490381240844727,26.279699439652777,24.60819978534859,25.351088126998114,795708
2020-04-03,25.629671096801758,26.790435170287477,23.30814294983032,25.629671096801758,2753391
2020-04-07,26.37255859375,27.02258716361819,25.629670317773805,26.929725686324826,963772
2020-04-08,26.37255859375,27.347601448552286,25.11893307825298,26.14040578610927,953425
2020-04-09,26.836864471435547,27.254740237748894,26.279697373412883,26.744002993234208,1370582
2020-04-13,26.51184844970703,27.57975272241385,26.001113009774844,27.394029778155637,1084086
2020-04-15,26.04754638671875,26.883297977844464,25.90825504525963,26.00111652996088,1122894
2020-04-16,26.55828285217285,26.79043567121075,25.536810094169002,25.9546858769114,891463
2020-04-17,28.740520477294922,29.204826127841297,27.115450700382603,27.811909176202168,2718954
2020-04-20,31.154903411865234,31.57277913834685,28.786945684963303,31.108473562782926,3970218
2020-04-21,28.6940860748291,30.365587317874247,28.04405928963265,30.365587317874247,1580430
2020-04-22,27.811908721923828,28.60122689801159,27.16188011330224,27.858338577745887,1501763
2020-04-23,28.32264518737793,28.694089360188404,27.858339528568457,28.461936530783667,1620668
2020-04-24,26.929725646972656,28.044059830493943,26.790434316828833,28.044059830493943,1538374
2020-04-27,26.093976974487305,27.57975535692369,26.001115493487763,26.929726761112324,2132504
2020-04-28,26.836864471435547,26.92972594963689,26.001114709994237,26.651143286218247,1122272
2020-04-29,26.97615623474121,27.858337634990058,26.744003421116293,27.115449339864487,1893489
2020-04-30,27.25473976135254,27.67261374917632,26.976155331618003,27.394031090627134,1381536
2020-05-04,25.490381240844727,26.418992553499393,25.211796784337018,26.04754661148911,1922369
2020-05-05,24.608196258544922,26.14040435059463,24.468904935846815,25.768960233004588,1964439
2020-05-06,24.979642868041992,25.11893420463546,24.14389307729577,24.701060194855064,1018167
2020-05-07,24.88677978515625,25.443946866862653,24.515335654413757,24.979641260638203,613104
2020-05-08,24.74748992919922,25.81539253278396,24.608198593285632,25.072504227121208,611333
2020-05-11,24.65462875366211,25.026074682281074,24.422475933867982,25.026074682281074,633304
2020-05-12,24.468908309936523,24.654629508748553,24.051032513034816,24.60819965184192,664740
2020-05-13,25.95468521118164,26.836864838186756,25.304656626074376,26.836864838186756,1716302
2020-05-14,25.722532272338867,26.558282041115444,25.490379460390628,26.46542056209907,1198916
2020-05-15,25.351085662841797,26.279696885234323,24.236753258681976,26.279696885234323,529495
2020-05-18,24.283184051513672,25.536809604518,23.772448567897477,25.351086644374615,919240
2020-05-19,24.65462875366211,25.07250453776572,24.329616222898693,24.422475933867982,668800
2020-05-20,25.583240509033203,26.23326912503027,25.2117963446858,26.00111630091496,2286542
2020-05-21,24.979642868041992,25.81539265878822,24.886781386584538,25.5832398407373,693326
2020-05-22,24.74748992919922,25.443948379952584,24.422475631277226,25.118934082030595,1210205
2020-05-26,24.37604522705078,25.02607380824629,24.190322269227668,25.02607380824629,733913
2020-05-27,24.561769485473633,24.654629198116922,24.236755177665653,24.468908001644856,710391
2020-05-28,25.16536521911621,26.001114989543012,24.840350927509842,25.02607388590931,1550527
2020-05-29,24.933212280273438,25.165365091502828,24.422475032857548,25.165365091502828,761551
2020-06-01,25.536808013916016,25.90825213988137,25.16536388795066,25.536808013916016,1170549
2020-06-02,26.14040756225586,26.326130529461796,25.304657752200107,25.954686366235403,1422099
2020-06-03,26.465421676635742,27.161880141810364,26.186838999040077,26.418991820764955,2086618
2020-06-04,25.908252716064453,26.69757260828562,25.67609991077501,26.372558326643333,821757
2020-06-05,26.233266830444336,26.418989781965863,25.861822698586614,26.372558158492815,1950463
2020-06-08,28.64765739440918,30.179865601477903,26.744003270681645,26.929726229011052,6515073
2020-06-09,27.904767990112305,29.901283640071004,27.486893980798147,28.9726723689034,5271533
2020-06-10,28.36907196044922,28.601224764613892,27.440460743790513,27.440460743790513,1994738
2020-06-11,27.95119857788086,29.01910114580958,27.76547562207353,28.64765700538029,2847126
