Date,Close,High,Low,Open,Volume
2018-03-09,264.6548767089844,272.80950876444325,249.18579284280162,266.87886726956407,15776490
2018-03-12,265.09967041015625,267.8672908698283,258.6748091900312,264.8031202549624,1278682
2018-03-13,268.8557434082031,273.9956446863396,260.94822154325595,264.0123922988834,1262968
2018-03-14,268.9545593261719,273.8967598644522,267.37304912096255,268.3614892286186,477332
2018-03-15,284.9178771972656,290.30488815555367,269.00398452813573,271.77163508548,2210265
2018-03-16,292.9242858886719,300.48584807199654,287.6361243057599,288.7234146574022,1339569
2018-03-19,297.2734069824219,307.40491960609546,294.70345628394415,298.50895730238204,565161
2018-03-20,293.6161804199219,301.47429290753166,293.5173605213038,297.4216816256499,247595
2018-03-21,293.9126892089844,300.48581027580764,293.56672911814104,297.3227896806686,282172
2018-03-22,291.9852294921875,298.41009080198256,287.7349486916281,298.41009080198256,234442
2018-03-23,288.82220458984375,291.39212467622,273.4519431858762,288.2785444448046,195670
2018-03-26,293.0724792480469,296.1860594195777,289.1681289257039,289.8600490370649,136812
2018-03-27,293.22076416015625,297.5204848411527,292.5782840962831,295.2964945059614,84581
2018-03-28,297.0262756347656,299.49737609761723,291.58985461649206,293.02310495086624,283595
2018-04-02,300.0904541015625,303.500554730734,298.01472362543996,300.83178425983476,78989
2018-04-03,298.45953369140625,301.07889421684155,297.1251333739803,300.4858240574521,59151
2018-04-04,296.6802978515625,300.485798370464,296.5320378655895,299.2502482126907,122914
2018-04-05,316.74566650390625,328.1621384721841,294.55517248406886,297.520493012432,622573
2018-04-06,318.080078125,330.139061913511,312.9896165865399,316.3008976416872,202562
2018-04-09,328.16217041015625,342.4451444110979,319.2662079592785,319.2662079592785,330216
2018-04-10,337.65118408203125,342.8899051649984,329.1505921848379,329.1505921848379,322857
2018-04-11,337.3546447753906,345.95408700398207,335.62487434037075,345.95408700398207,151072
2018-04-12,334.29046630859375,342.2473973433646,333.5985461469619,338.63959687725355,130852
2018-04-13,335.2789001464844,340.66588069158837,333.10431982060845,335.9707901303187,189580
2018-04-16,331.1274108886719,336.0696110511893,329.2987907955812,331.32511096109096,52196
2018-04-17,331.9181823730469,334.53757283979735,330.0895922710798,332.4124024362377,37755
2018-04-18,331.2757263183594,335.57544721251077,330.0401760708906,335.57544721251077,52240
2018-04-19,331.3251647949219,333.1537550203266,329.24943435643996,332.16531482722104,36502
2018-04-20,329.34832763671875,333.15379874781485,326.6301167489046,331.32520828240183,38673
2018-04-23,337.99713134765625,350.89626362046005,330.13901985699624,330.13901985699624,100266
2018-04-24,338.095947265625,344.0760283785552,337.05809715555284,338.49134746450966,194951
2018-04-25,333.0549621582031,340.5670841035273,331.22634161961633,339.0350137458159,62927
2018-04-26,331.7205505371094,335.08124131974523,331.1274803602202,332.11592060010145,37971
2018-04-27,332.4618835449219,334.1422138681315,329.79308280862097,331.9182233094815,35138
2018-04-30,332.0664978027344,334.1421980943116,326.67948663794317,334.0433782059897,45076
2018-05-02,330.68267822265625,334.93298945631875,329.4965680048551,332.9066688164369,23703
2018-05-03,330.7815246582031,345.95408857584727,329.59541445339613,329.59541445339613,18365
2018-05-04,330.8309326171875,332.7583728244773,330.28727243195215,330.8803425591181,10790
2018-05-07,329.4471130371094,332.46187380494996,326.1852723792377,327.2725626534621,60270
2018-05-08,324.9002685546875,331.12742903479597,321.8360982530478,330.0895790097104,57708
2018-05-09,328.6563720703125,329.94133228617056,324.3072411495604,324.3072411495604,30912
2018-05-10,327.9644470214844,332.1159079366125,326.9265968751029,326.9265968751029,28188
2018-05-11,327.2231140136719,329.842504658459,326.28411392866593,328.7552144125777,47930
2018-05-14,326.2841491699219,328.65639985773873,325.5922288937734,327.27258947024586,15952
2018-05-15,324.6037292480469,328.65633977142113,323.219919113548,327.1736795920012,54091
2018-05-16,325.93817138671875,327.1737216952355,322.6763306381555,324.94973113990534,28616
2018-05-17,325.39453125,327.1737115732997,323.7635807613734,326.1852713570662,22827
2018-05-18,325.3450622558594,327.17368252650505,324.3566221273805,325.69102233378675,12637
2018-05-21,323.6153259277344,326.92660673793466,321.88555552171357,322.4786256938811,33973
2018-05-22,323.9612731933594,326.5312237276246,321.8361328117788,321.8361328117788,9861
2018-05-23,323.31878662109375,326.18525708983225,322.2314963978343,325.2462268595626,71450
2018-05-24,325.39453125,342.9887550330363,322.2315104921321,333.796273087985,83076
2018-05-25,326.1358947753906,336.06970789883127,322.3303935206341,326.18530472533627,118078
2018-05-28,327.5196533203125,331.12745387434165,326.33351306140986,328.06328334284296,28634
2018-05-29,326.58062744140625,329.49653802049033,325.6910373178078,328.26098780304795,16517
2018-05-30,325.2462463378906,328.4092671468359,319.8592651713083,327.7173469183785,16751
